entry_idx,exit_idx,timestamp_entry,timestamp_exit,direction,regime_label,prob_long,prob_short,setup_score_long_regime,setup_score_short_regime,ev_long_regime,ev_short_regime,size,gross_ret,net_ret,outcome
1762,1770,2025-04-08 17:00:00,2025-04-09 01:00:00,short,trend_down,0.3360903859138489,0.838595986366272,0.36626984960629533,2.4031420411264865,-0.0033944403502875866,0.01651466580717997,0.6,0.022323813,0.0120742878,tp
1855,1861,2025-04-12 14:00:00,2025-04-12 20:00:00,long,trend_up,0.7112388610839844,0.01848192885518074,2.1043443049752586,0.021216128488741444,0.0049966538222569355,-0.00750065399462882,0.6,0.012268156,0.0060408936,tp
1879,1884,2025-04-13 14:00:00,2025-04-13 19:00:00,long,trend_up,0.7373590469360352,0.5895321369171143,1.738042251069891,0.57446880393907,0.006052012368251676,0.0014020443420133435,0.6,-0.00858829,-0.006472974,sl
1918,1926,2025-04-15 05:00:00,2025-04-15 13:00:00,long,trend_up,0.9163689613342285,0.08855035156011581,2.5938595602073264,0.09455982944811214,0.00879609000621921,-0.005961072208121089,0.6,0.011073564,0.005324138399999999,tp
2118,2122,2025-04-23 13:00:00,2025-04-23 17:00:00,short,trend_up,0.024360429495573044,0.8848376870155334,0.03887581460345904,1.3238604674574987,-0.013968105623179265,0.007488234868945061,0.6,-0.00995224,-0.007291343999999999,sl
2299,2306,2025-05-01 02:00:00,2025-05-01 09:00:00,long,range,0.9006008505821228,0.29079875349998474,1.8391087654350922,0.4237202058090815,0.0053007776790532654,-0.0038362221156903503,0.6,0.008990129,0.0040740774,tp
2480,2485,2025-05-08 15:00:00,2025-05-08 20:00:00,long,trend_up,0.9424243569374084,0.13893383741378784,2.5730147813623163,0.13964658278008873,0.011127760682659568,-0.005791471856190588,0.6,0.012690949,0.0062945694,tp
2913,2922,2025-05-26 16:00:00,2025-05-27 01:00:00,short,trend_up,0.09787392616271973,0.9472277164459229,0.15475991485457385,1.6820496382205268,-0.008674305886860419,0.005181045729190346,0.6,0.010087137,0.004732282199999999,tp
3075,3085,2025-06-02 10:00:00,2025-06-02 20:00:00,short,range,0.9076579809188843,0.9375118017196655,1.20658909773286,1.9681591631028585,0.004702918953843812,0.00510885860848562,0.6,-0.005409608,-0.0045657648,sl
3353,3365,2025-06-14 00:00:00,2025-06-14 12:00:00,short,trend_down,0.06709404289722443,0.8883165717124939,0.07025104240645283,2.197060459713268,-0.005762963106457209,0.007012830887018358,0.6,0.009982448,0.0046694688,tp
3565,3569,2025-06-22 20:00:00,2025-06-23 00:00:00,long,trend_down,0.8715076446533203,0.03200078010559082,1.306443703790828,0.05121720801367023,0.008551760931204983,-0.015379527044869279,0.6,0.017309176,0.009065505599999999,tp
3582,3583,2025-06-23 13:00:00,2025-06-23 14:00:00,long,trend_down,0.8572041988372803,0.43596336245536804,1.2966597257037613,0.7490976877123487,0.005403295253674351,-0.0017523081422525988,0.6,-0.00822774,-0.0062566440000000004,sl
3666,3678,2025-06-27 01:00:00,2025-06-27 13:00:00,long,trend_up,0.8749359846115112,0.0867103561758995,1.9762125152214625,0.07916079686851521,0.0055611122239312685,-0.005031144531762353,0.6,-0.005755942,-0.0047735652,sl
